amplitude (rad),period (T/T0)
0.000,1.
0.005,1.000001562502238
0.010,1.0000062500358076
0.015,1.000014062681277
0.020,1.0000250005729319
0.025,1.0000390638987797
0.030,1.0000562529005617
0.035,1.000076567873763
0.040,1.000100009167628
0.045,1.0001265771851762
0.050,1.0001562723832242
0.055,1.0001890952724064
0.060,1.0002250464172007
0.065,1.000264126435956
0.070,1.0003063360009232
0.075,1.0003516758382882
0.080,1.0004001467282069
0.085,1.0004517495048446
0.090,1.000506485056416
0.095,1.0005643543252303
0.100,1.0006253583077367
0.105,1.0006894980545733
0.110,1.0007567746706199
0.115,1.0008271893150518
0.120,1.000900743201397
0.125,1.000977437597597
0.130,1.0010572738260677
0.135,1.0011402532637665
0.140,1.0012263773422596
0.145,1.0013156475477927
0.150,1.0014080654213644
0.155,1.0015036325588036
0.160,1.0016023506108473
0.165,1.001704221283223
0.170,1.001809246336733
0.175,1.001917427587342
0.180,1.0020287669062675
0.185,1.002143266220072
0.190,1.00226092751076
0.195,1.0023817528158747
0.200,1.0025057442286018
0.205,1.002632903897872
0.210,1.002763234028469
0.215,1.002896736881138
0.220,1.003033414772701
0.225,1.003173270076171
0.230,1.0033163052208707
0.235,1.003462522692554
0.240,1.0036119250335316
0.245,1.0037645148427965
0.250,1.0039202947761563
0.255,1.0040792675463657
0.260,1.0042414359232619
0.265,1.004406802733906
0.270,1.004575370862723
0.275,1.0047471432516495
0.280,1.00492212290028
0.285,1.0051003128660196
0.290,1.0052817162642385
0.295,1.0054663362684282
0.300,1.0056541761103646
0.305,1.0058452390802697
0.310,1.0060395285269794
0.315,1.0062370478581142
0.320,1.0064378005402517
0.325,1.006641790099103
0.330,1.0068490201196931
0.335,1.0070594942465438
0.340,1.0072732161838596
0.345,1.0074901896957167
0.350,1.007710418606257
0.355,1.0079339067998838
0.360,1.0081606582214604
0.365,1.0083906768765136
0.370,1.00862396683144
0.375,1.0088605322137163
0.380,1.0091003772121097
0.385,1.0093435060768978
0.390,1.0095899231200856
0.395,1.0098396327156314
0.400,1.0100926392996719
0.405,1.0103489473707536
0.410,1.0106085614900675
0.415,1.010871486281685
0.420,1.0111377264328012
0.425,1.0114072866939787
0.430,1.0116801718793973
0.435,1.0119563868671047
0.440,1.0122359365992748
0.445,1.0125188260824654
0.450,1.0128050603878846
0.455,1.0130946446516558
0.460,1.01338758407509
0.465,1.0136838839249618
0.470,1.0139835495337877
0.475,1.0142865863001098
0.480,1.0145929996887828
0.485,1.0149027952312648
0.490,1.0152159785259134
0.495,1.0155325552382852
0.500,1.0158525311014368
0.505,1.016175911916236
0.510,1.0165027035516712
0.515,1.0168329119451678
0.520,1.0171665431029098
0.525,1.017503603100162
0.530,1.0178440980816021
0.535,1.018188034261651
0.540,1.0185354179248123
0.545,1.018886255426015
0.550,1.019240553190958
0.555,1.019598317716464
0.560,1.0199595555708336
0.565,1.0203242733942062
0.570,1.020692477898926
0.575,1.0210641758699106
0.580,1.0214393741650265
0.585,1.0218180797154688
0.590,1.0222002995261443
0.595,1.022586040676062
0.600,1.0229753103187267
0.605,1.023368115682538
0.610,1.0237644640711954
0.615,1.0241643628641055
0.620,1.0245678195167995
0.625,1.0249748415613502
0.630,1.0253854366067985
0.635,1.0257996123395827
0.640,1.0262173765239742
0.645,1.0266387370025187
0.650,1.0270637016964832
0.655,1.0274922786063068
0.660,1.0279244758120583
0.665,1.028360301473901
0.670,1.0287997638325594
0.675,1.029242871209795
0.680,1.0296896320088869
0.685,1.0301400547151176
0.690,1.0305941478962652
0.695,1.0310519202031023
0.700,1.0315133803699001
0.705,1.0319785372149382
0.710,1.0324473996410217
0.715,1.0329199766360049
0.720,1.0333962772733196
0.725,1.0338763107125113
0.730,1.0343600861997806
0.735,1.0348476130685336
0.740,1.0353389007399347
0.745,1.0358339587234717
0.750,1.0363327966175222
0.755,1.0368354241099298
0.760,1.0373418509785874
0.765,1.0378520870920267
0.770,1.038366142410014
0.775,1.038884026984155
0.780,1.0394057509585055
0.785,1.0399313245701896
0.790,1.040460758150026
0.795,1.0409940621231617
0.800,1.041531247009712
0.805,1.0420723234254088
0.810,1.0426173020822596
0.815,1.0431661937892083
0.820,1.04371900945281
0.825,1.0442757600779105
0.830,1.044836456768334
0.835,1.0454011107275805
0.840,1.045969733259532
0.845,1.0465423357691626
0.850,1.0471189297632646
0.855,1.047699526851176
0.860,1.0482841387455215
0.865,1.0488727772629611
0.870,1.0494654543249462
0.875,1.0500621819584859
0.880,1.0506629722969243
0.885,1.051267837580724
0.890,1.0518767901582604
0.895,1.0524898424866262
0.900,1.0531070071324444
0.905,1.0537282967726918
0.910,1.0543537241955325
0.915,1.0549833023011606
0.920,1.055617044102654
0.925,1.0562549627268392
0.930,1.0568970714151624
0.935,1.0575433835245782
0.940,1.0581939125284416
0.945,1.058848672017417
0.950,1.0595076757003934
0.955,1.0601709374054136
0.960,1.0608384710806138
0.965,1.061510290795176
0.970,1.062186410740287
0.975,1.0628668452301169
0.980,1.0635516087028025
0.985,1.0642407157214477
0.990,1.0649341809751314
0.995,1.065632019279932
1.000,1.0663342455799631
1.005,1.06704087494842
1.010,1.0677519225886418
1.015,1.0684674038351847
1.020,1.0691873341549087
1.025,1.0699117291480793
1.030,1.0706406045494812
1.035,1.0713739762295442
1.040,1.0721118601954884
1.045,1.072854272592477
1.050,1.0736012297047883
1.055,1.074352747957
1.060,1.0751088439151886
1.065,1.0758695342881437
1.070,1.076634835928598
1.075,1.077404765834472
1.080,1.078179341150135
1.085,1.0789585791676803
1.090,1.0797424973282188
1.095,1.0805311132231867
1.100,1.0813244445956713
1.105,1.0821225093417524
1.110,1.0829253255118607
1.115,1.0837329113121543
1.120,1.084545285105912
1.125,1.0853624654149443
1.130,1.0861844709210227
1.135,1.0870113204673257
1.140,1.0878430330599065
1.145,1.088679627869176
1.150,1.0895211242314067
1.155,1.090367541650256
1.160,1.0912188997983077
1.165,1.0920752185186349
1.170,1.0929365178263826
1.175,1.0938028179103703
1.180,1.094674139134715
1.185,1.0955505020404772
1.190,1.0964319273473266
1.195,1.0973184359552304
1.200,1.0982100489461615
1.205,1.0991067875858342
1.210,1.1000086733254557
1.215,1.1009157278035067
1.220,1.101827972847542
1.225,1.102745430476016
1.230,1.1036681229001328
1.235,1.1045960725257196
1.240,1.105529301955125
1.245,1.1064678339891456
1.250,1.1074116916289733
1.255,1.1083608980781727
1.260,1.1093154767446838
1.265,1.1102754512428505
1.270,1.1112408453954785
1.275,1.1122116832359181
1.280,1.1131879890101783
1.285,1.1141697871790688
1.290,1.1151571024203677
1.295,1.116149959631024
1.300,1.1171483839293874
1.305,1.118152400657468
1.310,1.1191620353832272
1.315,1.120177313902903
1.320,1.1211982622433643
1.325,1.1222249066644965
1.330,1.123257273661625
1.335,1.1242953899679689
1.340,1.125339282557128
1.345,1.1263889786456076
1.350,1.127444505695377
1.355,1.128505891416462
1.360,1.1295731637695794
1.365,1.1306463509688007
1.370,1.1317254814842612
1.375,1.1328105840449025
1.380,1.1339016876412553
1.385,1.1349988215282631
1.390,1.1361020152281434
1.395,1.1372112985332934
1.400,1.1383267015092349
1.405,1.1394482544976021
1.410,1.1405759881191724
1.415,1.1417099332769423
1.420,1.1428501211592457
1.425,1.1439965832429204
1.430,1.145149351296518
1.435,1.1463084573835625
1.440,1.1474739338658548
1.445,1.1486458134068296
1.450,1.1498241289749578
1.455,1.1510089138472006
1.460,1.1522002016125155
1.465,1.1533980261754135
1.470,1.1546024217595707
1.475,1.155813422911492
1.480,1.1570310645042308
1.485,1.1582553817411647
1.490,1.1594864101598288
1.495,1.1607241856358053
1.500,1.1619687443866724
1.505,1.1632201229760157
1.510,1.164478358317498
1.515,1.1657434876789916
1.520,1.1670155486867766
1.525,1.1682945793298003
1.530,1.1695806179640056
1.535,1.1708737033167242
1.540,1.1721738744911385
1.545,1.1734811709708144
1.550,1.1747956326243025
1.555,1.1761172997098137
1.560,1.1774462128799679
1.565,1.1787824131866147
1.570,1.1801259420857366
1.575,1.1814768414424224
1.580,1.182835153535926
1.585,1.1842009210648023
1.590,1.1855741871521273
1.595,1.1869549953508
1.600,1.1883433896489342
1.605,1.1897394144753302
1.610,1.1911431147050424
1.615,1.1925545356650349
1.620,1.1939737231399263
1.625,1.1954007233778345
1.630,1.1968355830963124
1.635,1.198278349488384
1.640,1.1997290702286807
1.645,1.2011877934796775
1.650,1.2026545678980345
1.655,1.2041294426410436
1.660,1.205612467373184
1.665,1.2071036922727874
1.670,1.208603168038815
1.675,1.2101109458977504
1.680,1.21162707761061
1.685,1.2131516154800701
1.690,1.2146846123577193
1.695,1.2162261216514323
1.700,1.217776197332874
1.705,1.2193348939451294
1.710,1.2209022666104692
1.715,1.2224783710382479
1.720,1.2240632635329425
1.725,1.2256570010023278
1.730,1.2272596409658012
1.735,1.2288712415628482
1.740,1.2304918615616622
1.745,1.232121560367917
1.750,1.2337603980336924
1.755,1.2354084352665637
1.760,1.2370657334388515
1.765,1.238732354597039
1.770,1.2404083614713617
1.775,1.2420938174855674
1.780,1.2437887867668567
1.785,1.2454933341560053
1.790,1.2472075252176698
1.795,1.2489314262508864
1.800,1.2506651042997623
1.805,1.2524086271643646
1.810,1.254162063411813
1.815,1.2559254823875803
1.820,1.2576989542270054
1.825,1.2594825498670212
1.830,1.2612763410581052
1.835,1.2630804003764593
1.840,1.2648948012364176
1.845,1.266719617903095
1.850,1.2685549255052773
1.855,1.2704008000485598
1.860,1.2722573184287396
1.865,1.2741245584454706
1.870,1.2760025988161816
1.875,1.2778915191902698
1.880,1.2797914001635715
1.885,1.2817023232931184
1.890,1.2836243711121889
1.895,1.285557627145655
1.900,1.2875021759256404
1.905,1.2894581030074872
1.910,1.2914254949860497
1.915,1.2934044395123145
1.920,1.2953950253103579
1.925,1.2973973421946514
1.930,1.2994114810877198
1.935,1.3014375340381614
1.940,1.3034755942390446
1.945,1.3055257560466786
1.950,1.3075881149997841
1.955,1.309662767839055
1.960,1.3117498125271403
1.965,1.3138493482690385
1.970,1.315961475532932
1.975,1.3180862960714574
1.980,1.320223912943436
1.985,1.322374430536068
1.990,1.3245379545876006
1.995,1.3267145922104977
2.000,1.3289044519150992
2.005,1.3311076436338112
2.010,1.3333242787458115
2.015,1.3355544701023143
2.020,1.3377983320523819
2.025,1.3400559804693173
2.030,1.3423275327776425
2.035,1.344613107980683
2.040,1.3469128266887722
2.045,1.3492268111480987
2.050,1.3515551852702032
2.055,1.3538980746621525
2.060,1.3562556066574045
2.065,1.3586279103473902
2.070,1.3610151166138156
2.075,1.3634173581617282
2.080,1.3658347695533457
2.085,1.368267487242689
2.090,1.3707156496110247
2.095,1.3731793970031527
2.100,1.3756588717645561
2.105,1.378154218279444
2.110,1.3806655830097052
2.115,1.3831931145348073
2.120,1.3857369635926648
2.125,1.3882972831215041
2.130,1.390874228302756
2.135,1.393467956605008
2.140,1.396078627829041
2.145,1.3987064041539958
2.150,1.4013514501846898
2.155,1.4040139330001242
2.160,1.406694022203221
2.165,1.4093918899718236
2.170,1.4121077111110003
2.175,1.4148416631066911
2.180,1.4175939261807404
2.185,1.4203646833473593
2.190,1.4231541204710574
2.195,1.4259624263261002
2.200,1.4287897926575288
2.205,1.431636414243802
2.210,1.4345024889611053
2.215,1.437388217849385
2.220,1.440293805180163
2.225,1.443219458526183
2.230,1.4461653888329646
2.235,1.4491318104923063
2.240,1.4521189414178235
2.245,1.4551270031225711
2.250,1.4581562207988337
2.255,1.4612068234001474
2.260,1.464279043725638
2.265,1.4673731185067413
2.270,1.4704892884964025
2.275,1.4736277985608266
2.280,1.47678889777388
2.285,1.4799728395142226
2.290,1.4831798815652806
2.295,1.4864102862181472
2.300,1.4896643203775244
2.305,1.4929422556708096
2.310,1.4962443685604407
2.315,1.4995709404596183
2.320,1.502922257851529
2.325,1.5062986124121935
2.330,1.5097003011370753
2.335,1.51312762647159
2.340,1.5165808964456673
2.345,1.5200604248124943
2.350,1.523566531191628
2.355,1.5270995412166246
2.360,1.5306597866873566
2.365,1.5342476057272116
2.370,1.5378633429453485
2.375,1.5415073496042149
2.380,1.5451799837925309
2.385,1.5488816106039518
2.390,1.552612602321642
2.395,1.5563733386089864
2.400,1.560164206706701
2.405,1.563985601636586
2.410,1.5678379264122035
2.415,1.5717215922567578
2.420,1.5756370188284858
2.425,1.5795846344538593
2.430,1.5835648763689294
2.435,1.587578190969169
2.440,1.5916250340681508
2.445,1.5957058711654712
2.450,1.5998211777242877
2.455,1.6039714394589113
2.460,1.608157152632882
2.465,1.6123788243679937
2.470,1.6166369729647565
2.475,1.6209321282348041
2.480,1.6252648318457934
2.485,1.6296356376793568
2.490,1.6340451122027033
2.495,1.6384938348545108
2.500,1.6429823984457659
2.505,1.6475114095762475
2.510,1.6520814890674038
2.515,1.6566932724123988
2.520,1.6613474102441534
2.525,1.6660445688222532
2.530,1.6707854305396388
2.535,1.675570694450063
2.540,1.6804010768173299
2.545,1.6852773116874258
2.550,1.690200151484678
2.555,1.6951703676331678
2.560,1.700188751204709
2.565,1.7052561135947497
2.570,1.7103732872276591
2.575,1.7155411262929556
2.580,1.7207605075141057
2.585,1.7260323309516656
2.590,1.731357520842588
2.595,1.7367370264776973
2.600,1.7421718231194303
2.605,1.7476629129620693
2.610,1.7532113261368685
2.615,1.7588181217646086
2.620,1.7644843890582933
2.625,1.7702112484788919
2.630,1.7759998529472025
2.635,1.7818513891151746
2.640,1.78776707870018
2.645,1.7937481798860702
2.650,1.7997959887950163
2.655,1.8059118410345227
2.660,1.8120971133242247
2.665,1.8183532252075043
2.670,1.8246816408532545
2.675,1.8310838709535806
2.680,1.8375614747236213
2.685,1.844116062010167
2.690,1.8507492955162592
2.695,1.8574628931495092
2.700,1.8642586305025066
2.705,1.8711383434743123
2.710,1.878103931042812
2.715,1.8851573581984589
2.720,1.8923006590508047
2.725,1.899535940120213
2.730,1.9068653838281533
2.735,1.914291252200609
2.740,1.921815890800474
2.745,1.9294417329060751
2.750,1.9371713039546097
2.755,1.9450072262708908
2.760,1.9529522241036812
2.765,1.9610091289939413
2.770,1.969180885501647
2.775,1.9774705573202498
2.780,1.9858813338107586
2.785,1.9944165369904805
2.790,2.0030796290149393
2.795,2.011874220195321
2.800,2.0208040775981724
2.805,2.0298731342788043
2.810,2.0390854992053598
2.815,2.0484454679364217
2.820,2.0579575341219756
2.825,2.0676264019050814
2.830,2.077456999310301
2.835,2.0874544927146257
2.840,2.097624302507699
2.845,2.1079721200606345
2.850,2.1185039261368614
2.855,2.129226010894682
2.860,2.1401449956496217
2.865,2.1512678565856818
2.870,2.162601950628842
2.875,2.174155043723897
2.880,2.1859353417875944
2.885,2.1979515246479853
2.890,2.2102127833226093
2.895,2.222728861037638
2.900,2.2355100984477847
2.905,2.248567483584116
2.910,2.261912707135781
2.915,2.275558223764151
2.920,2.2895173202571955
2.925,2.303804191460642
2.930,2.3184340250761406
2.935,2.3334230965986356
2.940,2.3487888758838533
2.945,2.364550147098585
2.950,2.380727144123088
2.955,2.3973417038575473
2.960,2.4144174403513694
2.965,2.431979943244431
2.970,2.45005700471132
2.975,2.4686788799674946
2.980,2.4878785874758655
2.985,2.507692256343495
2.990,2.52815953010043
2.995,2.5493240382115614
3.000,2.571233949432141
3.005,2.5939426246697823
3.010,2.6175093916307786
3.015,2.642000469573139
3.020,2.667490080484395
3.025,2.6940617936869304
3.030,2.72181016530783
3.035,2.7508427537844633
3.040,2.7812826199067153
3.045,2.813271458272999
3.050,2.846973561760347
3.055,2.882580899945671
3.060,2.920319709572885
3.065,2.960459171713473
3.070,3.0033230223940466
3.075,3.0493053736247058
3.080,3.0988927213364943
3.085,3.1526952918072824
3.090,3.2114929263465775
3.095,3.276304430605072
3.100,3.3484964455708104
3.105,3.4299623865477216
3.110,3.5234336695146293
3.115,3.633061283657563
3.120,3.765609980623145
3.125,3.9332517201532395
3.130,4.161505364244201
3.135,4.5208020591677265
3.140,5.425144192120702